시도코드,CTP_KOR_NM,SIG_CD,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y)
43,충청북도,43760, 괴산군,202302,"36,911","1,861","14,037",0.133,5,36.81210,127.79670
43,충청북도,43720, 보은군,202302,"31,444","1,683","11,885",0.142,5,36.48770,127.70410
43,충청북도,43800, 단양군,202302,"27,738","1,541","9,728",0.158,5,36.98320,128.35520
43,충청북도,43740, 영동군,202302,"44,750","2,720","15,859",0.172,5,36.17350,127.77760
43,충청북도,43730, 옥천군,202302,"49,310","3,234","16,348",0.198,5,36.30510,127.57570
43,충청북도,43770, 음성군,202302,"91,905","7,507","21,965",0.342,4,36.93860,127.66430
43,충청북도,43150, 제천시,202302,"130,488","11,566","32,476",0.356,4,37.14960,128.21130
43,충청북도,43130, 충주시,202302,"208,046","19,431","46,420",0.419,4,36.99120,127.92770
43,충청북도,43745, 증평군,202302,"37,315","3,800","7,374",0.515,3,36.78430,127.59060
43,충청북도,43750, 진천군,202302,"85,906","8,580","15,399",0.557,3,36.85700,127.43720
43,충청북도,43111, 청주시,202302,"849,621","105,846","128,482",0.824,3,36.63570,127.49120
44,충청남도,44770, 서천군,202302,"49,808","2,714","19,674",0.138,5,36.07540,126.68790
44,충청남도,44760, 부여군,202302,"62,019","3,666","23,702",0.155,5,36.27890,126.91950
44,충청남도,44790, 청양군,202302,"30,127","1,808","11,552",0.157,5,36.45480,126.79460
44,충청남도,44825, 태안군,202302,"61,017","3,644","21,079",0.173,5,36.74870,126.29370
44,충청남도,44710, 금산군,202302,"50,206","2,986","17,189",0.174,5,36.10480,127.48820
44,충청남도,44810, 예산군,202302,"78,127","5,403","26,168",0.206,4,36.68270,126.85240
44,충청남도,44180, 보령시,202302,"96,819","7,289","27,924",0.261,4,36.35100,126.58490
44,충청남도,44230, 논산시,202302,"112,161","8,884","32,746",0.271,4,36.19850,127.09860
44,충청남도,44150, 공주시,202302,"102,480","8,824","29,677",0.297,4,36.45090,127.12050
44,충청남도,44800, 홍성군,202302,"97,512","8,374","25,362",0.33,4,36.59730,126.67180
44,충청남도,44270, 당진시,202302,"168,472","15,040","34,140",0.441,4,36.88930,126.62860
44,충청남도,44210, 서산시,202302,"176,189","16,171","35,563",0.455,4,36.77800,126.45210
44,충청남도,44250, 계룡시,202302,"44,523","4,447","6,051",0.735,3,36.27360,127.24070
44,충청남도,44200, 아산시,202302,"336,748","39,346","47,401",0.83,3,36.79230,127.00390
44,충청남도,44131, 천안시,202302,"657,417","88,738","81,625",1.087,2,36.81450,127.14690
44,충청남도,44133, 천안시,202302,"657,417","88,738","81,625",1.087,2,36.81450,127.14690
50,제주특별자치도,50000,제주도,202302,"677,090","75,165","116,547",0.645,3,33.49960,126.53120
45,전라북도,45750, 임실군,202302,"26,437","1,539","10,317",0.149,5,35.60710,127.28910
45,전라북도,45740, 장수군,202302,"21,214","1,181","7,857",0.15,5,35.64650,127.50960
45,전라북도,45720, 진안군,202302,"24,593","1,408","9,304",0.151,5,35.79700,127.42780
45,전라북도,45790, 고창군,202302,"52,208","3,109","19,434",0.16,5,35.43550,126.67660
45,전라북도,45730, 무주군,202302,"23,397","1,372","8,419",0.163,5,36.01170,127.66780
45,전라북도,45770, 순창군,202302,"26,757","1,629","9,663",0.169,5,35.37230,127.14290
45,전라북도,45800, 부안군,202302,"50,106","3,165","18,013",0.176,5,35.73190,126.72920
45,전라북도,45210, 김제시,202302,"81,746","6,077","27,564",0.22,4,35.79960,126.71640
45,전라북도,45190, 남원시,202302,"77,672","5,756","23,740",0.242,4,35.41730,127.38550
45,전라북도,45180, 정읍시,202302,"104,829","7,980","31,414",0.254,4,35.56620,126.85140
45,전라북도,45710, 완주군,202302,"93,538","8,440","23,155",0.365,4,35.91920,127.18960
45,전라북도,45130, 군산시,202302,"261,872","24,953","55,323",0.451,4,35.96720,126.71180
45,전라북도,45140, 익산시,202302,"272,793","27,445","60,339",0.455,4,35.94080,126.95430
45,전라북도,45111, 전주시,202302,"649,362","79,880","107,998",0.74,3,35.82420,127.14890
46,전라남도,46770, 고흥군,202302,"61,675","2,959","26,746",0.111,5,34.61770,127.27940
46,전라남도,46910, 신안군,202302,"37,815","1,824","14,659",0.124,5,34.83610,126.24090
46,전라남도,46780, 보성군,202302,"38,362","2,022","15,821",0.128,5,34.76840,127.09030
46,전라남도,46860, 함평군,202302,"30,770","1,708","12,111",0.141,5,35.06140,126.52140
46,전라남도,46730, 구례군,202302,"24,587","1,385","9,098",0.152,5,35.20810,127.46060
46,전라남도,46720, 곡성군,202302,"27,002","1,631","10,400",0.157,5,35.21390,127.29250
46,전라남도,46800, 장흥군,202302,"35,506","2,209","13,102",0.169,5,34.68750,126.90540
46,전라남도,46890, 완도군,202302,"47,438","2,838","16,574",0.171,5,34.31510,126.73910
46,전라남도,46810, 강진군,202302,"33,046","2,116","12,303",0.172,5,34.64820,126.76820
46,전라남도,46900, 진도군,202302,"29,417","1,824","10,581",0.172,5,34.48540,126.28090
46,전라남도,46820, 해남군,202302,"65,622","4,039","22,944",0.176,5,34.57310,126.59890
46,전라남도,46880, 장성군,202302,"42,983","2,966","13,903",0.213,4,35.30840,126.78470
46,전라남도,46710, 담양군,202302,"45,627","3,332","15,116",0.22,4,35.32000,126.98500
46,전라남도,46830, 영암군,202302,"52,349","3,774","14,965",0.252,4,34.79000,126.70220
46,전라남도,46870, 영광군,202302,"52,192","4,210","16,067",0.262,4,35.27230,126.50700
46,전라남도,46790, 화순군,202302,"61,892","5,159","17,758",0.291,4,35.06750,126.99400
46,전라남도,46170, 나주시,202302,"116,769","12,232","27,603",0.443,4,35.01500,126.70950
46,전라남도,46130, 여수시,202302,"274,165","26,671","59,098",0.451,4,34.75190,127.74340
46,전라남도,46840, 무안군,202302,"90,590","9,479","18,516",0.512,3,34.99320,126.47260
46,전라남도,46110, 목포시,202302,"216,329","22,418","41,100",0.545,3,34.81200,126.39170
46,전라남도,46150, 순천시,202302,"278,578","31,133","48,454",0.643,3,34.95070,127.48890
46,전라남도,46230, 광양시,202302,"152,144","16,227","22,530",0.72,3,34.94090,127.71640
28,인천광역시,28710, 강화군,202302,"69,638","4,438","24,910",0.178,5,37.74160,126.50920
28,인천광역시,28720, 옹진군,202302,"20,527","1,352","6,154",0.22,4,37.46590,37.46590
28,인천광역시,28140, 동구,202302,"59,297","5,761","14,834",0.388,4,37.47530,126.63690
28,인천광역시,28177, 미추홀구,202302,"404,692","50,718","76,436",0.664,3,37.44190,126.68830
28,인천광역시,28200, 남동구,202302,"503,689","61,565","81,089",0.759,3,37.40200,126.73370
28,인천광역시,28237, 부평구,202302,"490,423","64,639","82,626",0.782,3,37.50880,126.72190
28,인천광역시,28245, 계양구,202302,"287,238","35,602","44,306",0.804,3,37.53930,126.72710
28,인천광역시,28110, 중구,202302,"153,715","20,369","23,558",0.865,3,37.46430,126.59040
28,인천광역시,28260, 서구,202302,"596,063","79,035","71,044",1.112,2,37.54610,126.67660
28,인천광역시,28185, 연수구,202302,"386,506","49,787","44,726",1.113,2,37.41720,126.67880
31,울산광역시,31110, 중구,202302,"207,368","20,973","37,490",0.559,3,35.56640,129.31900
31,울산광역시,31710, 울주군,202302,"221,147","21,372","38,177",0.56,3,35.57450,129.21650
31,울산광역시,31170, 동구,202302,"151,185","15,476","23,533",0.658,3,35.52590,129.42160
31,울산광역시,31140, 남구,202302,"310,269","36,310","44,864",0.809,3,35.53880,129.31600
31,울산광역시,31200, 북구,202302,"218,696","25,175","21,862",1.152,2,35.58050,129.35520
36,세종특별자치시,36110, 세종특별자치시,202302,"385,285","49,665","40,644",1.222,2,36.48010,127.28890
11,서울특별시,11320, 도봉구,202302,"310,853","37,928","67,701",0.56,3,37.66880,127.04710
11,서울특별시,11305, 강북구,202302,"293,119","37,359","66,602",0.561,3,37.63960,127.02570
11,서울특별시,11350, 노원구,202302,"502,820","63,798","92,747",0.688,3,37.65500,127.07780
11,서울특별시,11260, 중랑구,202302,"385,129","54,850","75,529",0.726,3,37.60650,127.09270
11,서울특별시,11470, 양천구,202302,"440,042","53,908","72,936",0.739,3,37.52710,126.85610
11,서울특별시,11380, 은평구,202302,"465,627","66,830","89,976",0.743,3,37.60270,126.92880
11,서울특별시,11530, 구로구,202302,"395,422","57,196","75,172",0.761,3,37.49540,126.85810
11,서울특별시,11110, 종로구,202302,"141,433","21,314","27,878",0.765,3,37.57290,126.97940
11,서울특별시,11140, 중구,202302,"120,555","19,370","24,786",0.781,3,37.56410,126.99700
11,서울특별시,11290, 성북구,202302,"430,170","62,806","77,857",0.807,3,37.61090,127.02730
11,서울특별시,11230, 동대문구,202302,"337,293","52,674","64,740",0.814,3,37.57440,127.03950
11,서울특별시,11740, 강동구,202302,"460,280","64,496","79,048",0.816,3,37.54990,127.14650
11,서울특별시,11545, 금천구,202302,"229,395","35,314","42,693",0.827,3,37.45740,126.89560
11,서울특별시,11410, 서대문구,202302,"308,194","48,621","55,952",0.869,3,37.57940,126.93680
11,서울특별시,11650, 서초구,202302,"405,126","56,450","62,882",0.898,3,37.47610,127.03760
11,서울특별시,11590, 동작구,202302,"379,622","62,411","68,158",0.916,3,37.49790,126.98280
11,서울특별시,11680, 강남구,202302,"529,962","75,888","82,198",0.923,3,37.51840,127.04730
11,서울특별시,11170, 용산구,202302,"218,175","35,950","38,729",0.928,3,37.53110,126.98140
11,서울특별시,11200, 성동구,202302,"280,474","44,578","47,851",0.932,3,37.55090,127.04070
11,서울특별시,11500, 강서구,202302,"568,666","93,252","97,829",0.953,3,37.55090,126.84970
11,서울특별시,11710, 송파구,202302,"658,868","100,793","104,475",0.965,3,37.50480,127.11470
11,서울특별시,11560, 영등포구,202302,"376,410","65,941","63,957",1.031,2,37.52650,126.89620
11,서울특별시,11215, 광진구,202302,"337,071","59,372","54,210",1.095,2,37.53880,127.08270
11,서울특별시,11620, 관악구,202302,"487,430","95,755","82,435",1.162,2,37.46540,126.94360
11,서울특별시,11440, 마포구,202302,"365,447","66,860","55,975",1.194,2,37.56620,126.90180
26,부산광역시,26200, 영도구,202302,"107,783","9,172","32,919",0.279,4,35.09110,129.06550
26,부산광역시,26170, 동구,202302,"85,988","9,710","24,437",0.397,4,35.12990,129.04900
26,부산광역시,26140, 서구,202302,"104,952","11,488","28,604",0.402,4,35.11590,129.02250
26,부산광역시,26110, 중구,202302,"39,711","5,089","11,550",0.441,4,35.10680,129.03120
26,부산광역시,26410, 금정구,202302,"220,223","24,245","52,505",0.462,4,35.25490,129.08900
26,부산광역시,26380, 사하구,202302,"302,091","32,342","66,407",0.487,4,35.10420,128.97330
26,부산광역시,26290, 남구,202302,"256,371","28,437","57,346",0.496,4,35.13240,129.10370
26,부산광역시,26530, 사상구,202302,"203,685","22,913","43,447",0.527,3,35.16270,128.97830
26,부산광역시,26470, 연제구,202302,"203,048","23,919","44,371",0.539,3,35.18020,129.08140
26,부산광역시,26350, 해운대구,202302,"385,516","41,962","76,865",0.546,3,35.16310,129.16070
26,부산광역시,26320, 북구,202302,"278,059","30,882","56,344",0.548,3,35.21640,129.00870
26,부산광역시,26260, 동래구,202302,"273,351","30,644","55,421",0.553,3,35.20480,129.08350
26,부산광역시,26500, 수영구,202302,"175,179","23,963","41,047",0.584,3,35.15760,129.11400
26,부산광역시,26710, 기장군,202302,"179,328","19,316","31,615",0.611,3,35.32280,129.22620
26,부산광역시,26230, 부산진구,202302,"357,345","50,351","76,362",0.659,3,35.16310,129.05160
26,부산광역시,26440, 강서구,202302,"142,886","17,391","19,179",0.907,3,35.21110,128.97880
30,대전광역시,30140, 중구,202302,"226,421","25,767","49,195",0.524,3,36.32560,127.42660
30,대전광역시,30110, 동구,202302,"219,610","24,692","46,224",0.534,3,36.35150,127.42390
30,대전광역시,30230, 대덕구,202302,"171,946","18,756","31,579",0.594,3,36.36800,127.40500
30,대전광역시,30170, 서구,202302,"469,709","65,491","68,607",0.955,3,36.35030,127.36620
30,대전광역시,30200, 유성구,202302,"358,189","50,362","39,421",1.278,2,36.36250,127.34260
27,대구광역시,27170, 서구,202302,"158,968","15,037","41,182",0.365,4,35.87040,128.55640
27,대구광역시,27200, 남구,202302,"141,762","17,455","35,806",0.487,4,35.83130,128.60970
27,대구광역시,27140, 동구,202302,"338,610","37,685","73,867",0.51,3,35.87470,128.62690
27,대구광역시,27260, 수성구,202302,"410,761","43,069","72,552",0.594,3,35.85720,128.63360
27,대구광역시,27290, 달서구,202302,"537,040","61,971","90,070",0.688,3,35.82230,128.54100
