  시도코드  ,  시도  ,  시점  ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류
0,전국,202302,"51,421,479 ","6,200,925 ","9,349,879 ",0.663 ,3
11,서울특별시,202302,"9,427,583 ","1,433,714 ","1,672,316 ",0.857 ,3
26,부산광역시,202302,"3,315,516 ","381,824 ","718,419 ",0.531 ,3
27,대구광역시,202302,"2,360,662 ","267,593 ","439,162 ",0.609 ,3
28,인천광역시,202302,"2,971,788 ","373,266 ","469,683 ",0.795 ,3
29,광주광역시,202302,"1,428,927 ","179,635 ","224,558 ",0.800 ,3
30,대전광역시,202302,"1,445,875 ","185,068 ","235,026 ",0.787 ,3
31,울산광역시,202302,"1,108,665 ","119,306 ","165,926 ",0.719 ,3
36,세종특별자치시,202302,"385,285 ","49,665 ","40,644 ",1.222 ,2
41,경기도,202302,"13,600,800 ","1,715,726 ","2,016,088 ",0.851 ,3
42,강원도,202302,"1,534,067 ","148,710 ","353,233 ",0.421 ,4
43,충청북도,202302,"1,593,434 ","167,769 ","319,973 ",0.524 ,3
44,충청남도,202302,"2,123,625 ","217,334 ","439,853 ",0.494 ,4
45,전라북도,202302,"1,766,524 ","173,934 ","412,540 ",0.422 ,4
46,전라남도,202302,"1,814,858 ","162,156 ","459,449 ",0.353 ,4
47,경상북도,202302,"2,594,399 ","232,942 ","622,508 ",0.374 ,4
48,경상남도,202302,"3,272,381 ","317,118 ","643,954 ",0.492 ,4
50,제주특별자치도,202302,"677,090 ","75,165 ","116,547 ",0.645 ,3
