시도코드,시도,시군구코드,시군구,읍면동코드,읍면동, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류
42,강원도,42780, 철원군,4278033000,  근북면,202302,102 ,1 ,63 ,0.016 ,5
47,경상북도,47250, 상주시,4725044500,  은척면북부출장소,202302,375 ,5 ,193 ,0.026 ,5
46,전라남도,46890, 완도군,4689035500,  청산면모도출장소,202302,216 ,3 ,115 ,0.026 ,5
46,전라남도,46910, 신안군,4691025500,  압해읍고이도출장소,202302,218 ,3 ,105 ,0.029 ,5
47,경상북도,47770, 영덕군,4777038000,  창수면,202302,"1,546 ",27 ,912 ,0.030 ,5
48,경상남도,48880, 거창군,4888041000,  가북면,202302,"1,355 ",22 ,714 ,0.031 ,5
46,전라남도,46790, 화순군,4679031500,  한천면영외출장소,202302,413 ,7 ,219 ,0.032 ,5
47,경상북도,47250, 상주시,4725042600,  화북면서부출장소,202302,317 ,5 ,155 ,0.032 ,5
43,충청북도,43720, 보은군,4372037000,  회남면,202302,727 ,13 ,381 ,0.034 ,5
47,경상북도,47113, 북구,4711335000,  죽장면,202302,"2,114 ",39 ,"1,101 ",0.035 ,5
47,경상북도,47720, 군위군,4772036000,  산성면,202302,"1,203 ",23 ,641 ,0.036 ,5
48,경상남도,48720, 의령군,4872041500,  궁류면,202302,"1,111 ",23 ,639 ,0.036 ,5
47,경상북도,47770, 영덕군,4777034500,  지품면원전출장소,202302,523 ,11 ,303 ,0.036 ,5
48,경상남도,48890, 합천군,4889037000,  쌍책면,202302,"1,224 ",25 ,675 ,0.037 ,5
46,전라남도,46770, 고흥군,4677042000,  두원면,202302,"2,916 ",62 ,"1,665 ",0.037 ,5
47,경상북도,47720, 군위군,4772038000,  삼국유사면,202302,"1,305 ",26 ,694 ,0.037 ,5
42,강원도,42110, 춘천시,4211038000,  북산면,202302,974 ,19 ,481 ,0.040 ,5
46,전라남도,46910, 신안군,4691025100,  지도읍선도출장소,202302,226 ,4 ,101 ,0.040 ,5
48,경상남도,48880, 거창군,4888039000,  신원면,202302,"1,545 ",35 ,867 ,0.040 ,5
47,경상북도,47900, 예천군,4790043000,  은풍면,202302,"1,319 ",28 ,685 ,0.041 ,5
48,경상남도,48170, 진주시,4817037000,  이반성면,202302,"1,539 ",34 ,825 ,0.041 ,5
47,경상북도,47930, 울진군,4793039000,  금강송면,202302,"1,218 ",23 ,558 ,0.041 ,5
47,경상북도,47900, 예천군,4790039000,  개포면,202302,"1,477 ",36 ,872 ,0.041 ,5
42,강원도,42230, 삼척시,4223033000,  노곡면,202302,700 ,14 ,338 ,0.041 ,5
