,__肄__,__,_뎔援ъ_,_뎔援, __ ,珥__援,20-39 ъ_멸뎄,65 댁_ 멸뎄,吏諛⑹_硫몄__,吏諛⑹_硫몄___瑜,__(x),寃쎈_(y),__留ㅺ린湲
0,43,異⑹껌遺__,43760, 愿댁_援,202302,"36,911","1,861","14,037",0.133,5,36.8121,127.7967,2.344381568
1,43,異⑹껌遺__,43720, 蹂댁援,202302,"31,444","1,683","11,885",0.142,5,36.4877,127.7041,3.071948262
2,43,異⑹껌遺__,43800, ⑥_援,202302,"27,738","1,541","9,728",0.158,5,36.9832,128.3552,4.365400162
3,43,異⑹껌遺__,43740, __援,202302,"44,750","2,720","15,859",0.172,5,36.1735,127.7776,5.497170574
4,43,異⑹껌遺__,43730, μ_援,202302,"49,310","3,234","16,348",0.198,5,36.3051,127.5757,7.599029911
5,43,異⑹껌遺__,43770, __援,202302,"91,905","7,507","21,965",0.342,4,36.9386,127.6643,19.24009701
6,43,異⑹껌遺__,43150, __,202302,"130,488","11,566","32,476",0.356,4,37.1496,128.2113,20.37186742
7,43,異⑹껌遺__,43130, 異⑹＜,202302,"208,046","19,431","46,420",0.419,4,36.9912,127.9277,25.46483428
8,43,異⑹껌遺__,43745, 利__援,202302,"37,315","3,800","7,374",0.515,3,36.7843,127.5906,33.22554568
9,43,異⑹껌遺__,43750, 吏__援,202302,"85,906","8,580","15,399",0.557,3,36.857,127.4372,36.62085691
10,43,異⑹껌遺__,43110, 泥＜,202302,"849,621","105,846","128,482",0.824,3,36.6357,127.4912,58.20533549
11,44,異⑹껌⑤_,44770, __援,202302,"49,808","2,714","19,674",0.138,5,36.0754,126.6879,2.748585287
12,44,異⑹껌⑤_,44760, 遺ш뎔,202302,"62,019","3,666","23,702",0.155,5,36.2789,126.9195,4.12287793
13,44,異⑹껌⑤_,44790, 泥_援,202302,"30,127","1,808","11,552",0.157,5,36.4548,126.7946,4.284559418
14,44,異⑹껌⑤_,44825, __援,202302,"61,017","3,644","21,079",0.173,5,36.7487,126.2937,5.578011318
15,44,異⑹껌⑤_,44710, 湲__援,202302,"50,206","2,986","17,189",0.174,5,36.1048,127.4882,5.658852061
16,44,異⑹껌⑤_,44810, __援,202302,"78,127","5,403","26,168",0.206,4,36.6827,126.8524,8.245755861
17,44,異⑹껌⑤_,44180, 蹂대_,202302,"96,819","7,289","27,924",0.261,4,36.351,126.5849,12.69199677
18,44,異⑹껌⑤_,44230, 쇱_,202302,"112,161","8,884","32,746",0.271,4,36.1985,127.0986,13.5004042
19,44,異⑹껌⑤_,44150, 怨듭＜,202302,"102,480","8,824","29,677",0.297,4,36.4509,127.1205,15.60226354
20,44,異⑹껌⑤_,44800, __援,202302,"97,512","8,374","25,362",0.33,4,36.5973,126.6718,18.27000808
21,44,異⑹껌⑤_,44270, 뱀_,202302,"168,472","15,040","34,140",0.441,4,36.8893,126.6286,27.24333064
22,44,異⑹껌⑤_,44210, __,202302,"176,189","16,171","35,563",0.455,4,36.778,126.4521,28.37510105
23,44,異⑹껌⑤_,44250, 怨_！,202302,"44,523","4,447","6,051",0.735,3,36.2736,127.2407,51.0105093
24,44,異⑹껌⑤_,44200, __,202302,"336,748","39,346","47,401",0.83,3,36.7923,127.0039,58.69037995
25,44,異⑹껌⑤_,44130, 泥__,202302,"657,417","88,738","81,625",1.087,2,36.8145,127.1469,79.46645109
26,50,_＜밸___,50000,_＜,202302,"677,090","75,165","116,547",0.645,3,33.4996,126.5312,43.73484236
27,45,__遺__,45750, __援,202302,"26,437","1,539","10,317",0.149,5,35.6071,127.2891,3.637833468
28,45,__遺__,45740, μ_援,202302,"21,214","1,181","7,857",0.15,5,35.6465,127.5096,3.718674212
29,45,__遺__,45720, 吏__援,202302,"24,593","1,408","9,304",0.151,5,35.797,127.4278,3.799514956
30,45,__遺__,45790, 怨_갹援,202302,"52,208","3,109","19,434",0.16,5,35.4355,126.6766,4.527081649
31,45,__遺__,45730, 臾댁＜援,202302,"23,397","1,372","8,419",0.163,5,36.0117,127.6678,4.76960388
32,45,__遺__,45770, _갹援,202302,"26,757","1,629","9,663",0.169,5,35.3723,127.1429,5.254648343
33,45,__遺__,45800, 遺_뎔,202302,"50,106","3,165","18,013",0.176,5,35.7319,126.7292,5.820533549
