,시도코드,시도,시군구코드,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y),점수매기기
0,43,충청북도,43760, 괴산군,202302,"36,911","1,861","14,037",0.133,5,36.8121,127.7967,97.65561843168959
1,43,충청북도,43720, 보은군,202302,"31,444","1,683","11,885",0.142,5,36.4877,127.7041,96.92805173807601
2,43,충청북도,43800, 단양군,202302,"27,738","1,541","9,728",0.158,5,36.9832,128.3552,95.63459983831852
3,43,충청북도,43740, 영동군,202302,"44,750","2,720","15,859",0.172,5,36.1735,127.7776,94.50282942603073
4,43,충청북도,43730, 옥천군,202302,"49,310","3,234","16,348",0.198,5,36.3051,127.5757,92.40097008892482
5,43,충청북도,43770, 음성군,202302,"91,905","7,507","21,965",0.342,4,36.9386,127.6643,80.75990299110751
6,43,충청북도,43150, 제천시,202302,"130,488","11,566","32,476",0.356,4,37.1496,128.2113,79.62813257881973
7,43,충청북도,43130, 충주시,202302,"208,046","19,431","46,420",0.419,4,36.9912,127.9277,74.53516572352466
8,43,충청북도,43745, 증평군,202302,"37,315","3,800","7,374",0.515,3,36.7843,127.5906,66.77445432497979
9,43,충청북도,43750, 진천군,202302,"85,906","8,580","15,399",0.557,3,36.857,127.4372,63.37914308811641
10,43,충청북도,43110, 청주시,202302,"849,621","105,846","128,482",0.824,3,36.6357,127.4912,41.794664510913506
11,44,충청남도,44770, 서천군,202302,"49,808","2,714","19,674",0.138,5,36.0754,126.6879,97.25141471301536
12,44,충청남도,44760, 부여군,202302,"62,019","3,666","23,702",0.155,5,36.2789,126.9195,95.87712206952304
13,44,충청남도,44790, 청양군,202302,"30,127","1,808","11,552",0.157,5,36.4548,126.7946,95.71544058205336
14,44,충청남도,44825, 태안군,202302,"61,017","3,644","21,079",0.173,5,36.7487,126.2937,94.42198868229588
15,44,충청남도,44710, 금산군,202302,"50,206","2,986","17,189",0.174,5,36.1048,127.4882,94.34114793856104
16,44,충청남도,44810, 예산군,202302,"78,127","5,403","26,168",0.206,4,36.6827,126.8524,91.7542441390461
17,44,충청남도,44180, 보령시,202302,"96,819","7,289","27,924",0.261,4,36.351,126.5849,87.30800323362976
18,44,충청남도,44230, 논산시,202302,"112,161","8,884","32,746",0.271,4,36.1985,127.0986,86.49959579628133
19,44,충청남도,44150, 공주시,202302,"102,480","8,824","29,677",0.297,4,36.4509,127.1205,84.39773645917543
20,44,충청남도,44800, 홍성군,202302,"97,512","8,374","25,362",0.33,4,36.5973,126.6718,81.72999191592562
21,44,충청남도,44270, 당진시,202302,"168,472","15,040","34,140",0.441,4,36.8893,126.6286,72.75666936135814
22,44,충청남도,44210, 서산시,202302,"176,189","16,171","35,563",0.455,4,36.778,126.4521,71.62489894907033
23,44,충청남도,44250, 계룡시,202302,"44,523","4,447","6,051",0.735,3,36.2736,127.2407,48.98949070331447
24,44,충청남도,44200, 아산시,202302,"336,748","39,346","47,401",0.83,3,36.7923,127.0039,41.309620048504456
25,44,충청남도,44130, 천안시,202302,"657,417","88,738","81,625",1.087,2,36.8145,127.1469,20.533548908649962
26,50,제주특별자치도,50000,제주도,202302,"677,090","75,165","116,547",0.645,3,33.4996,126.5312,56.26515763945028
27,45,전라북도,45750, 임실군,202302,"26,437","1,539","10,317",0.149,5,35.6071,127.2891,96.3621665319321
28,45,전라북도,45740, 장수군,202302,"21,214","1,181","7,857",0.15,5,35.6465,127.5096,96.28132578819726
29,45,전라북도,45720, 진안군,202302,"24,593","1,408","9,304",0.151,5,35.797,127.4278,96.20048504446241
30,45,전라북도,45790, 고창군,202302,"52,208","3,109","19,434",0.16,5,35.4355,126.6766,95.47291835084884
31,45,전라북도,45730, 무주군,202302,"23,397","1,372","8,419",0.163,5,36.0117,127.6678,95.2303961196443
32,45,전라북도,45770, 순창군,202302,"26,757","1,629","9,663",0.169,5,35.3723,127.1429,94.74535165723526
33,45,전라북도,45800, 부안군,202302,"50,106","3,165","18,013",0.176,5,35.7319,126.7292,94.17946645109137
34,45,전라북도,45210, 김제시,202302,"81,746","6,077","27,564",0.22,4,35.7996,126.7164,90.62247372675829
